FID,ck_rating_,created_datetime,dataset,geometry,hide,id,location_type,neighborho,posted_dat,reason,submission_sets.support.length,submission_sets.support.url,submitter,updated_datetime,url,user_avata,user_name,visible
2931,3,2014-08-04T15:49:41.896313+00:00,568,POINT (-73.9522180000000020 40.7260789999999986),0,236947,previous-suggestion,Williamsburg,9/29/2011 0:00:00,Time to get the donuts!,,,,2014-08-04T15:49:41.899126+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236947,,Peter Pan,True
2929,0,2014-08-04T15:49:41.867759+00:00,568,POINT (-73.9224190000000050 40.7011370000000028),0,236946,previous-suggestion,Bushwick,,Dense neighborhood,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236946/support,,2014-08-04T15:49:41.872383+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236946,,Dan Zajackowski,True
2930,3,2014-08-04T15:49:41.854123+00:00,568,POINT (-73.9193829999999963 40.7042199999999994),0,236945,previous-suggestion,Ridgewood,9/17/2011 0:00:00,Train station!,8,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236945/support,,2014-08-04T15:49:41.856460+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236945,,Dan Zajackowski,True
2928,5,2014-08-04T15:49:41.838237+00:00,568,POINT (-73.9222369999999955 40.7060170000000028),0,236944,previous-suggestion,Bushwick,9/17/2011 0:00:00,Train exit!,4,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236944/support,,2014-08-04T15:49:41.847381+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236944,,Dan Zajackowski,True
2926,1,2014-08-04T15:49:41.718487+00:00,568,POINT (-73.9205840000000052 40.6450320000000005),0,236943,previous-suggestion,East Flatbush,9/17/2011 0:00:00,,,,,2014-08-04T15:49:41.721338+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236943,,Ryan,True
2927,7,2014-08-04T15:49:41.683789+00:00,568,POINT (-73.9487579999999980 40.7111980000000031),0,236942,previous-suggestion,Williamsburg,9/17/2011 0:00:00,Prominent intersection in the area. Lots of commercial activity.,9,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236942/support,,2014-08-04T15:49:41.686275+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236942,,Dan Zajackowski,True
2924,8,2014-08-04T15:49:41.669104+00:00,568,POINT (-73.9540369999999996 40.7296559999999985),0,236941,previous-suggestion,Greenpoint,9/17/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236941/support,,2014-08-04T15:49:41.673632+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236941,,Kali K,True
2925,1,2014-08-04T15:49:41.632970+00:00,568,POINT (-73.9256479999999954 40.6662589999999966),0,236940,previous-suggestion,Crown Heights,9/17/2011 0:00:00,,,,,2014-08-04T15:49:41.636230+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236940,,Ryan,True
2923,2,2014-08-04T15:49:41.537835+00:00,568,POINT (-73.9083530000000053 40.6730950000000036),0,236939,previous-suggestion,Bushwick,9/17/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236939/support,,2014-08-04T15:49:41.540583+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236939,,Ryan,True
2922,4,2014-08-04T15:49:41.449915+00:00,568,POINT (-73.9062930000000051 40.6827279999999973),0,236938,previous-suggestion,Bushwick,9/17/2011 0:00:00,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236938/support,,2014-08-04T15:49:41.452589+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236938,,Ryan,True
2921,2,2014-08-04T15:49:41.441215+00:00,568,POINT (-73.8998129999999946 40.6959400000000002),0,236937,previous-suggestion,Ridgewood,9/17/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236937/support,,2014-08-04T15:49:41.443844+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236937,,Ryan,True
2920,5,2014-08-04T15:49:41.425381+00:00,568,POINT (-73.9563109999999995 40.7169880000000006),0,236936,previous-suggestion,Williamsburg,9/17/2011 0:00:00,It's right by the train exit.,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236936/support,,2014-08-04T15:49:41.427901+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236936,,Dan Zajackowski,True
2919,2,2014-08-04T15:49:41.338310+00:00,568,POINT (-73.8762519999999938 40.7043680000000023),0,236935,previous-suggestion,Glendale,9/17/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236935/support,,2014-08-04T15:49:41.340657+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236935,,Ryan,True
2918,0,2014-08-04T15:49:41.242098+00:00,568,POINT (-73.8778829999999971 40.7207950000000025),0,236934,previous-suggestion,New York,,It's near where I live. Plus,,,,2014-08-04T15:49:41.245347+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236934,,Ryan,True
2917,4,2014-08-04T15:49:41.235078+00:00,568,POINT (-73.9181800000000067 40.7338999999999984),0,236933,previous-suggestion,Blissville,9/17/2011 0:00:00,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236933/support,,2014-08-04T15:49:41.237916+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236933,,Ryan,True
2916,4,2014-08-04T15:49:41.198820+00:00,568,POINT (-73.9226440000000053 40.7930589999999995),0,236932,previous-suggestion,Port Morris,9/17/2011 0:00:00,,3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236932/support,,2014-08-04T15:49:41.201663+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236932,,Ryan,True
2915,6,2014-08-04T15:49:41.197533+00:00,568,POINT (-73.9076230000000010 40.8083910000000003),0,236931,previous-suggestion,Mott Haven,9/17/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236931/support,,2014-08-04T15:49:41.200138+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236931,,Ryan,True
2914,3,2014-08-04T15:49:41.043035+00:00,568,POINT (-73.8995550000000065 40.8468379999999982),0,236930,previous-suggestion,Tremont,9/17/2011 0:00:00,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236930/support,,2014-08-04T15:49:41.045450+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236930,,Ryan,True
2913,2,2014-08-04T15:49:41.026189+00:00,568,POINT (-73.8593010000000021 40.9021339999999967),0,236929,previous-suggestion,Wakefield,9/17/2011 0:00:00,,,,,2014-08-04T15:49:41.033571+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236929,,Ryan,True
2912,2,2014-08-04T15:49:41.027155+00:00,568,POINT (-73.8850500000000068 40.8209919999999968),0,236928,previous-suggestion,Hunts Point,9/17/2011 0:00:00,,,,,2014-08-04T15:49:41.030588+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236928,,Ryan,True
2911,10,2014-08-04T15:49:41.011808+00:00,568,POINT (-73.8588709999999935 40.8105990000000034),0,236927,previous-suggestion,Castle Hill,9/17/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236927/support,,2014-08-04T15:49:41.014384+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236927,,Ryan,True
2907,2,2014-08-04T15:49:40.866684+00:00,568,POINT (-73.8259120000000024 40.8605999999999980),0,236926,previous-suggestion,Pelham Bay,9/17/2011 0:00:00,,,,,2014-08-04T15:49:40.869589+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236926,,Ryan,True
2910,1,2014-08-04T15:49:40.860667+00:00,568,POINT (-73.8471129999999931 40.8291109999999975),0,236925,previous-suggestion,Union Port,9/17/2011 0:00:00,,,,,2014-08-04T15:49:40.863436+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236925,,Ryan,True
2909,2,2014-08-04T15:49:40.853303+00:00,568,POINT (-73.7974169999999958 40.8835770000000025),0,236924,previous-suggestion,New Rochelle,9/17/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236924/support,,2014-08-04T15:49:40.855640+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236924,,Ryan,True
2908,1,2014-08-04T15:49:40.843717+00:00,568,POINT (-73.7913230000000055 40.8556019999999975),0,236923,previous-suggestion,Country Club,9/17/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236923/support,,2014-08-04T15:49:40.846167+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236923,,Ryan,True
2906,6,2014-08-04T15:49:40.672284+00:00,568,POINT (-73.8690469999999948 40.7687060000000017),0,236922,previous-suggestion,East Elmhurst,9/17/2011 0:00:00,People out of La Guardia Airport can just take a bike and ride.,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236922/support,,2014-08-04T15:49:40.675524+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236922,,Ryan,True
2904,1,2014-08-04T15:49:40.638134+00:00,568,POINT (-73.7448499999999996 40.6935089999999988),0,236921,previous-suggestion,Laurelton,9/17/2011 0:00:00,,,,,2014-08-04T15:49:40.640409+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236921,,Ryan,True
2905,1,2014-08-04T15:49:40.634464+00:00,568,POINT (-73.8016700000000014 40.6738580000000027),0,236920,previous-suggestion,South Jamaica,9/17/2011 0:00:00,,,,,2014-08-04T15:49:40.637164+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236920,,Ryan,True
2903,4,2014-08-04T15:49:40.526892+00:00,568,POINT (-73.7925469999999990 40.7737690000000015),0,236919,previous-suggestion,Clearview,9/17/2011 0:00:00,,,,,2014-08-04T15:49:40.529536+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236919,,Ryan,True
